Gene	Order	DHT AVE
GLRA2	1	0
ADAM7	2	0.364012054
MPHOSPH9	3	4.506271873
CD200	4	0.289244285
EAF2	5	3.890592609
MED28	6	4.012434588
CENPN	7	6.082936719
TNK1	8	2.553483385
MAN1A1	9	0.497229129
MAPRE2	10	2.149584553
HERC3	11	5.329643878
ZBTB10	12	3.650190123
MAF	13	3.331060244
ELL2	14	3.955312803
PIP4K2B	15	4.568062515
GNMT	16	5.310885391
ABCC4	17	6.564812558
TBC1D9B	18	5.85106188
FKBP5	19	7.377835201
ACSL3	20	6.819412726
CAMKK2	21	5.374013536
AR	22	6.398658196
C1orf116	23	6.865801306
FOLH1	24	6.629378479
PMEPA1	25	5.733977927
TMPRSS2	26	7.46159404
NDRG1	27	7.328912739
NKX3-1	28	8.012836808
KLK2	29	6.98430452
KLK3	30	9.669545035
