Gene	Order	NEPC-13-Ave
SOGA3	1	0.175499193
KIAA0408	2	0.278262368
ST8SIA3	3	0.830292689
SVOP	4	0.862789707
JAKMIP2	5	1.259354401
NRSN1	6	2.091814637
PRR5-ARHGAP8	7	0.062735291
RGS7	8	2.153109427
KCNB2	9	1.923484975
MYCN	10	0.69807102
KCND2	11	1.231079099
ASXL3	12	1.674947946
TRIM9	13	2.204271249
UPK2	14	0.079880323
CATSPERB	15	0.109092166
PAX8	16	0.325622281
MAP10	17	1.200737932
PCSK1	18	4.244797743
PROX1	19	3.554638611
BRINP1	20	2.580538284
SCG3	21	4.332764803
ARHGAP8	22	0.277932738
FHIT	23	0.61204283
GNAO1	24	2.900917167
SEZ6	25	3.3660632
CAND2	26	1.365888277
LMAN1L	27	0.018192932
CIITA	28	0.64470491
ETV5	29	2.875072697
AURKA	30	3.206136747
GPX2	31	4.497992621
RAB27B	32	0.412285846
CYLD	33	1.723071673
SYT11	34	3.399439217
EZH2	35	4.033140258
RB1	36	2.283589804
OPHN1	37	0.380344432
NUP93	38	1.167228127
EFNA4	39	0.719851226
DICER1	40	2.51446323
TRIM33	41	2.395168816
RIPK2	42	1.420016338
RBBP6	43	2.756654718
PSCA	44	0.108925813
DNMT1	45	3.811480327
TC2N	46	1.037708119
FOXP1	47	1.970614558
EVPL	48	0.523139854
EPN3	49	0.415789513
CREBBP	50	2.413254176
MAPKAPK3	51	1.365040733
MMP2	52	1.631433506
PIEZO1	53	1.751611285
SLC25A37	54	1.985833032
SEC11C	55	5.621997726
RGS10	56	1.45962905
GATA2	57	1.121069076
AR-	58	0.907414725
CCND1	59	1.879834139
HERPUD1	60	3.307005239
HOXB13	61	0.58164157
SLC44A4	62	1.351962619
CSDE1	63	4.864188626
MYH9	64	5.012565742
SPDEF	65	0.594679367
KLK4	66	0.479845768
NKX3-1-	67	0.637395753
KLK3-	68	0.603814167
